transaction_id,timestamp,atm_id,city,branch,transaction_type,status,amount_hnl,latency_sec,balance_before_hnl,balance_after_hnl
7166,2025-01-01 00:20:43,ATM-027,Tegucigalpa,Mall,Retiro,Aprobada,3000.0,6.2,63134.0,60134.0
4659,2025-01-01 01:34:10,ATM-015,San Pedro Sula,Sur,Retiro,Aprobada,800.0,5.3,49175.22,48375.22
11670,2025-01-01 03:32:21,ATM-030,San Pedro Sula,Norte,Retiro,Aprobada,200.0,3.5,71206.1,71006.1
8388,2025-01-01 06:00:31,ATM-025,San Pedro Sula,Aeropuerto,Retiro,Aprobada,2000.0,9.8,83896.55,81896.55
7567,2025-01-01 07:11:33,ATM-025,La Ceiba,Norte,Retiro,Aprobada,2000.0,10.4,92303.44,90303.44
7189,2025-01-01 07:16:21,ATM-002,La Ceiba,Centro,Retiro,Aprobada,3000.0,6.1,63740.79,60740.79
7107,2025-01-01 07:29:21,ATM-012,Tegucigalpa,Mall,Consulta,Aprobada,0.0,8.0,86474.67,86474.67
3809,2025-01-01 07:43:34,ATM-017,Comayagua,Sur,Retiro,Aprobada,800.0,3.9,42100.8,41300.8
3021,2025-01-01 07:53:05,ATM-018,San Pedro Sula,Mall,Retiro,Aprobada,2000.0,9.3,64501.31,62501.31
6538,2025-01-01 08:00:52,ATM-004,San Pedro Sula,Mall,Retiro,Aprobada,2000.0,5.3,74851.4,72851.4
5855,2025-01-01 08:01:54,ATM-027,La Ceiba,Centro,Depósito,Aprobada,500.0,7.8,60086.15,60086.15
7997,2025-01-01 08:02:14,ATM-021,Comayagua,Norte,Retiro,Aprobada,200.0,9.5,79651.27,79451.27
6159,2025-01-01 08:22:43,ATM-024,Comayagua,Aeropuerto,Retiro,Aprobada,1500.0,4.5,57040.11,55540.11
9204,2025-01-01 08:25:49,ATM-011,San Pedro Sula,Norte,Retiro,Aprobada,200.0,7.9,32731.11,32531.11
1308,2025-01-01 08:57:30,ATM-007,San Pedro Sula,Centro,Consulta,Aprobada,0.0,11.2,40199.38,40199.38
9156,2025-01-01 09:24:41,ATM-030,La Ceiba,Mall,Retiro,Aprobada,800.0,10.9,79451.02,78651.02
9967,2025-01-01 09:38:05,ATM-023,La Ceiba,Centro,Retiro,Aprobada,800.0,8.4,60051.14,59251.14
6020,2025-01-01 10:05:46,ATM-011,Tegucigalpa,Aeropuerto,Retiro,Aprobada,2000.0,4.9,57461.57,55461.57
355,2025-01-01 10:11:00,ATM-015,San Pedro Sula,Mall,Retiro,Aprobada,1000.0,4.9,63984.95,62984.95
1121,2025-01-01 10:34:27,ATM-002,Choloma,Sur,Retiro,Aprobada,3000.0,7.6,92713.61,89713.61
3760,2025-01-01 11:12:25,ATM-022,San Pedro Sula,Centro,Retiro,Aprobada,300.0,7.5,99664.32,99364.32
10495,2025-01-01 11:50:19,ATM-017,San Pedro Sula,Mall,Retiro,Aprobada,300.0,10.6,89044.6,88744.6
10397,2025-01-01 12:27:19,ATM-003,Tegucigalpa,Norte,Retiro,Aprobada,1000.0,6.0,84328.09,83328.09
6733,2025-01-01 12:30:56,ATM-008,San Pedro Sula,Sur,Retiro,Aprobada,1000.0,8.5,70909.56,69909.56
304,2025-01-01 13:03:37,ATM-011,Tegucigalpa,Centro,Retiro,Aprobada,1000.0,10.6,49837.35,48837.35
10569,2025-01-01 13:26:21,ATM-019,Comayagua,Sur,Retiro,Aprobada,300.0,6.6,80221.74,79921.74
4292,2025-01-01 13:26:39,ATM-006,San Pedro Sula,Sur,Retiro,Aprobada,2000.0,10.9,90212.0,88212.0
10550,2025-01-01 13:49:24,ATM-007,Tegucigalpa,Centro,Transferencia,Aprobada,0.0,12.0,78608.44,78608.44
11484,2025-01-01 14:09:22,ATM-010,Comayagua,Aeropuerto,Consulta,Aprobada,0.0,5.6,66219.04,66219.04
116,2025-01-01 14:14:46,ATM-010,San Pedro Sula,Centro,Retiro,Aprobada,300.0,6.3,62650.21,62350.21
10359,2025-01-01 14:18:51,ATM-009,Comayagua,Sur,Retiro,Aprobada,1000.0,7.9,64453.08,63453.08
11650,2025-01-01 14:20:04,ATM-017,San Pedro Sula,Mall,Retiro,Aprobada,1500.0,5.6,56059.69,54559.69
8566,2025-01-01 15:45:25,ATM-001,San Pedro Sula,Aeropuerto,Retiro,Aprobada,500.0,6.2,69931.86,69431.86
8569,2025-01-01 16:05:19,ATM-012,Tegucigalpa,Centro,Transferencia,Aprobada,0.0,9.0,69509.82,69509.82
9831,2025-01-01 16:46:42,ATM-005,Tegucigalpa,Norte,Retiro,Aprobada,3000.0,6.0,106581.25,103581.25
7110,2025-01-01 16:51:31,ATM-022,San Pedro Sula,Mall,Consulta,Aprobada,0.0,7.9,80678.33,80678.33
11305,2025-01-01 16:55:19,ATM-003,La Ceiba,Sur,Retiro,Aprobada,500.0,9.2,91227.67,90727.67
576,2025-01-01 17:05:26,ATM-023,San Pedro Sula,Aeropuerto,Consulta,Aprobada,0.0,4.2,106868.01,106868.01
9117,2025-01-01 17:06:37,ATM-006,Comayagua,Centro,Retiro,Aprobada,200.0,7.5,33094.73,32894.73
4534,2025-01-01 17:31:41,ATM-003,San Pedro Sula,Norte,Retiro,Aprobada,1500.0,9.5,43637.4,42137.4
4014,2025-01-01 17:49:23,ATM-012,Tegucigalpa,Mall,Retiro,Aprobada,500.0,7.0,39203.85,38703.85
11352,2025-01-01 17:54:26,ATM-023,La Ceiba,Mall,Retiro,Aprobada,1000.0,11.3,40867.27,39867.27
679,2025-01-01 18:19:22,ATM-004,Comayagua,Sur,Retiro,Aprobada,3000.0,3.9,63735.91,60735.91
6483,2025-01-01 18:28:50,ATM-006,Comayagua,Centro,Retiro,Aprobada,800.0,8.8,40780.12,39980.12
10443,2025-01-01 18:43:29,ATM-022,Tegucigalpa,Norte,Retiro,Aprobada,300.0,7.3,97835.99,97535.99
8610,2025-01-01 18:48:34,ATM-012,Tegucigalpa,Norte,Retiro,Aprobada,1000.0,7.7,69447.69,68447.69
6108,2025-01-01 18:57:14,ATM-007,Choloma,Aeropuerto,Retiro,Aprobada,3000.0,10.0,83127.63,80127.63
983,2025-01-01 19:21:16,ATM-010,Choloma,Mall,Retiro,Aprobada,1000.0,7.5,74510.83,73510.83
11139,2025-01-01 19:38:59,ATM-025,San Pedro Sula,Mall,Retiro,Aprobada,800.0,9.8,72181.64,71381.64
10423,2025-01-01 19:57:42,ATM-016,Tegucigalpa,Mall,Retiro,Aprobada,2000.0,9.7,91465.81,89465.81
9126,2025-01-01 20:02:48,ATM-030,Comayagua,Sur,Retiro,Aprobada,1000.0,9.2,71862.65,70862.65
9563,2025-01-01 21:22:27,ATM-013,La Ceiba,Norte,Transferencia,Aprobada,0.0,6.3,63934.25,63934.25
6381,2025-01-01 21:30:35,ATM-014,Tegucigalpa,Mall,Consulta,Aprobada,0.0,8.4,62194.47,62194.47
5852,2025-01-01 22:04:31,ATM-014,Tegucigalpa,Aeropuerto,Retiro,Aprobada,800.0,9.2,64037.96,63237.96
1669,2025-01-02 03:37:07,ATM-027,Tegucigalpa,Centro,Retiro,Aprobada,500.0,7.9,42661.01,42161.01
10179,2025-01-02 04:36:01,ATM-001,Choloma,Sur,Consulta,Aprobada,0.0,4.2,26171.64,26171.64
10799,2025-01-02 06:04:45,ATM-010,San Pedro Sula,Norte,Retiro,Aprobada,1500.0,7.8,71902.84,70402.84
836,2025-01-02 06:05:23,ATM-021,Comayagua,Aeropuerto,Retiro,Aprobada,1000.0,5.3,110570.1,109570.1
7028,2025-01-02 06:21:37,ATM-008,Tegucigalpa,Norte,Retiro,Aprobada,800.0,8.7,53700.25,52900.25
2872,2025-01-02 06:54:47,ATM-027,Comayagua,Centro,Retiro,Aprobada,500.0,10.1,63796.36,63296.36
7730,2025-01-02 06:56:21,ATM-004,Tegucigalpa,Aeropuerto,Retiro,Aprobada,1000.0,10.9,78171.14,77171.14
1736,2025-01-02 07:02:07,ATM-028,Tegucigalpa,Centro,Transferencia,Aprobada,0.0,5.5,44938.1,44938.1
9594,2025-01-02 07:08:11,ATM-010,San Pedro Sula,Centro,Consulta,Aprobada,0.0,7.6,40860.88,40860.88
5978,2025-01-02 07:13:19,ATM-026,San Pedro Sula,Centro,Consulta,Aprobada,0.0,7.9,54075.8,54075.8
7885,2025-01-02 07:25:02,ATM-005,La Ceiba,Sur,Retiro,Aprobada,500.0,4.7,95114.66,94614.66
3521,2025-01-02 07:29:53,ATM-002,San Pedro Sula,Centro,Transferencia,Aprobada,0.0,4.5,63259.6,63259.6
9580,2025-01-02 07:50:48,ATM-001,Tegucigalpa,Norte,Retiro,Aprobada,2000.0,10.6,91760.02,89760.02
1460,2025-01-02 07:58:13,ATM-011,Comayagua,Centro,Depósito,Rechazada,5000.0,8.5,43237.03,43237.03
11059,2025-01-02 08:02:40,ATM-006,San Pedro Sula,Norte,Retiro,Aprobada,300.0,11.1,47164.27,46864.27
2280,2025-01-02 08:09:00,ATM-022,Comayagua,Norte,Transferencia,Aprobada,0.0,6.5,85473.14,85473.14
2311,2025-01-02 08:26:45,ATM-026,Choloma,Sur,Retiro,Rechazada,300.0,11.2,48694.03,48394.03
7729,2025-01-02 08:31:15,ATM-002,San Pedro Sula,Aeropuerto,Retiro,Aprobada,500.0,7.3,68492.49,67992.49
8414,2025-01-02 09:13:24,ATM-022,Tegucigalpa,Norte,Depósito,Aprobada,5000.0,5.4,70005.5,70005.5
3900,2025-01-02 09:18:11,ATM-010,La Ceiba,Centro,Retiro,Aprobada,1000.0,7.6,77562.91,76562.91
4841,2025-01-02 09:19:53,ATM-025,Tegucigalpa,Mall,Retiro,Aprobada,2000.0,7.9,36816.53,34816.53
5273,2025-01-02 09:25:07,ATM-014,La Ceiba,Aeropuerto,Transferencia,Aprobada,0.0,9.3,97742.51,97742.51
10430,2025-01-02 09:25:17,ATM-025,Comayagua,Mall,Retiro,Aprobada,1000.0,10.7,73560.92,72560.92
5611,2025-01-02 09:28:47,ATM-023,La Ceiba,Aeropuerto,Retiro,Aprobada,3000.0,9.3,66367.82,63367.82000000001
9741,2025-01-02 09:29:00,ATM-026,Tegucigalpa,Aeropuerto,Retiro,Aprobada,500.0,7.0,44664.57,44164.57
9935,2025-01-02 09:45:00,ATM-005,Tegucigalpa,Sur,Retiro,Rechazada,200.0,6.5,60689.97,60489.97
10499,2025-01-02 09:50:47,ATM-021,Comayagua,Aeropuerto,Transferencia,Aprobada,0.0,10.7,55813.77,55813.77
7785,2025-01-02 10:00:33,ATM-006,Choloma,Sur,Transferencia,Aprobada,0.0,4.9,37634.72,37634.72
680,2025-01-02 11:15:44,ATM-005,Tegucigalpa,Sur,Retiro,Aprobada,1000.0,5.3,68098.74,67098.74
8084,2025-01-02 11:17:14,ATM-001,San Pedro Sula,Norte,Retiro,Rechazada,300.0,10.5,54265.24,53965.24
8632,2025-01-02 11:19:27,ATM-025,Tegucigalpa,Centro,Retiro,Aprobada,3000.0,7.3,61163.46,58163.46
11098,2025-01-02 11:43:06,ATM-024,La Ceiba,Norte,Depósito,Aprobada,500.0,10.6,62641.3,62641.3
8401,2025-01-02 11:46:39,ATM-010,La Ceiba,Norte,Consulta,Aprobada,0.0,8.2,44121.91,44121.91
1420,2025-01-02 11:48:46,ATM-027,La Ceiba,Centro,Retiro,Aprobada,300.0,8.0,73912.53,73612.53
7006,2025-01-02 12:01:02,ATM-012,San Pedro Sula,Centro,Retiro,Aprobada,500.0,7.4,55072.18,54572.18
9317,2025-01-02 12:19:14,ATM-020,San Pedro Sula,Mall,Retiro,Aprobada,500.0,10.2,43060.51,42560.51
2423,2025-01-02 12:19:36,ATM-021,San Pedro Sula,Centro,Retiro,Aprobada,3000.0,7.2,62912.67,59912.67
